,id,premise,hypothesis,lang_abv,language,label,label_name
0,a937bd90a8,"3)  Dare you rise to the occasion, like Raskolnikov, and reject the petty rules that govern lesser men?",Would you rise up and defeaat all evil lords in the town?,en,English,1,neutral
1,0abb9434d5,"He married Dona Filipa Moniz (Perestrelo), the daughter of Porto Santo's first governor, and lived on the island for a period, fathering a son there.","He landed on the island but soon left for greener pastures, before later dying alone and childless.",en,English,2,contradiction
2,bc52edfd5b,The contrast between the landscape of the central highlands and the south coast could not be more marked.,There was a beautiful artist who painted the landscape of the central highlands.,en,English,1,neutral
3,62344708db,i don't know i i do i can think of all the uh the biblical things about it too where what did they say to uh i can't think of the scripture Render unto Caesar's what is Caesar's so,I know this because I own a bible.,en,English,1,neutral
4,03f3c9a92e,'So I assume he hacked into the autopilot and reprogrammed it to-',I'm assuming he hacked the autopilot to bring the plane down.,en,English,1,neutral
5,a0876ff215,"They returned to live in the Galilee village of Nazareth, making pilgrimages to Jerusalem.",They would make pilgrimages to Jerusalem.,en,English,0,entailment
6,7542af2ea2,An Indian traveler described the prosperous Bujang Valley settlement as  the seat of all felicities.  ,A traveler said the settlement was prospering. ,en,English,0,entailment
7,fc297e527b,"TIG funds support the Technology Evaluation Project, an initiative of the Legal Aid Society of Cincinnati.","TIG funds are used to support the Technology Evolution project, a legal aid society in Cincinnati. ",en,English,0,entailment
8,c0ff6496b7,well i think i got to agree with you there,I could not agree with you.,en,English,2,contradiction
9,8ff12cf6be,"Say, man, don't you know you've been given up for dead? ",You were thought to be dead!,en,English,0,entailment
10,34edd95879,"Rather, kids today are not only little bundles of joy but also are perhaps the ultimate symbols of worldly success and status.","Kids today are not bundles of joy, and are symbols of failure. ",en,English,2,contradiction
11,1c29d37fa9,"This provides insight into the important Japanese concept of katachi (form), the rough equivalent of  It isn't what you do; it's the way that you do it.  ","Katachi means, it's not how you do something; it's what you do.",en,English,2,contradiction
12,bbe4991010,"They are built on the site of David's Tower, once the largest and most formidable structure in the castle.",There is nothing where David's Tower used to be.,en,English,2,contradiction
13,1837984941,"This is especially true on Menorca, where cold winter winds limit the season's length.","On Menorca, where cold winter winds limit the season's length, this is especially true.",en,English,0,entailment
